LAMBDA,G,G_err,BP,BP_err,RP,RP_err
3370,4.09241935e-02,1.26101343e-02,2.88483003e-01,1.22380784e-02,0.00,0.00
3372.5,4.22619394e-02,1.29483066e-02,2.92673803e-01,1.23602996e-02,0.00,0.00
3375,4.35996853e-02,1.32864884e-02,2.96740193e-01,1.24782932e-02,0.00,0.00
3377.5,4.49374312e-02,1.36246789e-02,3.00682174e-01,1.25920563e-02,0.00,0.00
3380,4.62751771e-02,1.39628775e-02,3.04499746e-01,1.27015864e-02,0.00,0.00
3382.5,4.75748131e-02,1.42855757e-02,3.13297475e-01,1.30208357e-02,0.00,0.00
3385,4.88744492e-02,1.46082812e-02,3.22197569e-01,1.33436057e-02,0.00,0.00
3387.5,5.01740853e-02,1.49309935e-02,3.31200025e-01,1.36698959e-02,0.00,0.00
3390,5.14737213e-02,1.52537123e-02,3.40304845e-01,1.39997057e-02,0.00,0.00
3392.5,5.27112583e-02,1.55632527e-02,3.46142417e-01,1.42104842e-02,0.00,0.00
3395,5.39487952e-02,1.58727975e-02,3.51960967e-01,1.44205809e-02,0.00,0.00
3397.5,5.51863322e-02,1.61823464e-02,3.57760497e-01,1.46299952e-02,0.00,0.00
3400,5.64238691e-02,1.64918992e-02,3.63541005e-01,1.48387264e-02,0.00,0.00
3402.5,5.76256341e-02,1.68018573e-02,3.63042788e-01,1.48162976e-02,0.00,0.00
3405,5.88273992e-02,1.71118174e-02,3.62284043e-01,1.47833206e-02,0.00,0.00
3407.5,6.00291642e-02,1.74217796e-02,3.61264771e-01,1.47397951e-02,0.00,0.00
3410,6.12309292e-02,1.77317436e-02,3.59984972e-01,1.46857207e-02,0.00,0.00
3412.5,6.23544255e-02,1.80046412e-02,3.51761369e-01,1.43295310e-02,0.00,0.00
3415,6.34779218e-02,1.82775415e-02,3.43178420e-01,1.39602401e-02,0.00,0.00
3417.5,6.46014180e-02,1.85504446e-02,3.34236127e-01,1.35778474e-02,0.00,0.00
3420,6.57249143e-02,1.88233502e-02,3.24934488e-01,1.31823520e-02,0.00,0.00
3422.5,6.67464817e-02,1.90529416e-02,3.14672348e-01,1.27325461e-02,0.00,0.00
3425,6.77680491e-02,1.92825363e-02,3.04156915e-01,1.22753170e-02,0.00,0.00
3427.5,6.87896166e-02,1.95121345e-02,2.93388189e-01,1.18106636e-02,0.00,0.00
3430,6.98111840e-02,1.97417358e-02,2.82366170e-01,1.13385847e-02,0.00,0.00
3432.5,7.07501351e-02,1.99476238e-02,2.84289286e-01,1.13903263e-02,0.00,0.00
3435,7.16890861e-02,2.01535147e-02,2.86207037e-01,1.14419179e-02,0.00,0.00
3437.5,7.26280372e-02,2.03594083e-02,2.88119422e-01,1.14933596e-02,0.00,0.00
3440,7.35669882e-02,2.05653046e-02,2.90026440e-01,1.15446511e-02,0.00,0.00
3442.5,7.44373209e-02,2.07545254e-02,3.03957438e-01,1.20807709e-02,0.00,0.00
3445,7.53076535e-02,2.09437485e-02,3.18060086e-01,1.26222958e-02,0.00,0.00
3447.5,7.61779862e-02,2.11329738e-02,3.32334385e-01,1.31692263e-02,0.00,0.00
