LAMBDA,G,BP,RP,RVS
7310,0.85239,0.00000,0.99742,0.00000
7330,0.85017,0.00000,1.00000,0.00000
7350,0.84407,0.00000,0.99768,0.00000
7370,0.84036,0.00000,0.99814,0.00000
7390,0.83474,0.00000,0.99590,0.00000
7410,0.83271,0.00000,0.99770,0.00000
7430,0.82396,0.00000,0.99130,0.00000
7450,0.82131,0.00000,0.99227,0.00000
7470,0.81715,0.00001,0.99166,0.00000
7490,0.81287,0.00000,0.99139,0.00000
7510,0.80576,0.00001,0.98735,0.00000
7530,0.80383,0.00000,0.99037,0.00000
7550,0.79753,0.00000,0.98880,0.00000
7570,0.79245,0.00000,0.98829,0.00000
7590,0.78821,0.00000,0.98916,0.00000
7610,0.78022,0.00000,0.98530,0.00000
7630,0.77765,0.00000,0.98826,0.00000
7650,0.77186,0.00001,0.98724,0.00000
7670,0.76340,0.00000,0.98205,0.00000
7690,0.75905,0.00000,0.98219,0.00000
7710,0.75415,0.00000,0.98096,0.00000
7730,0.74861,0.00000,0.97961,0.00000
7750,0.74103,0.00000,0.97440,0.00000
7770,0.73193,0.00000,0.96751,0.00000
7790,0.73239,0.00000,0.97303,0.00000
7810,0.72409,0.00000,0.96661,0.00000
7830,0.72061,0.00000,0.96771,0.00000
7850,0.71003,0.00000,0.95848,0.00000
7870,0.70440,0.00000,0.95579,0.00000
7890,0.69850,0.00000,0.95237,0.00000
7910,0.69237,0.00001,0.94963,0.00000
7930,0.68701,0.00000,0.94752,0.00000
7950,0.67976,0.00000,0.94259,0.00000
7970,0.67395,0.00000,0.94067,0.00000
7990,0.66485,0.00000,0.93525,0.00000
8010,0.65804,0.00000,0.93181,0.00000
8030,0.65297,0.00000,0.93203,0.00000
8050,0.64406,0.00000,0.92616,0.00000
8070,0.63765,0.00000,0.92363,0.00000
8090,0.63062,0.00000,0.92186,0.00000
8110,0.62574,0.00000,0.92170,0.00000
8130,0.62033,0.00000,0.92071,0.00000
8150,0.61241,0.00000,0.91611,0.00000
8170,0.60321,0.00000,0.90975,0.00000
8190,0.59619,0.00000,0.90568,0.00000
8210,0.58886,0.00000,0.90060,0.00000
8230,0.58248,0.00000,0.89698,0.00000
8250,0.57545,0.00000,0.89185,0.00000
8270,0.56845,0.00000,0.88588,0.00000
8290,0.55905,0.00000,0.87646,0.00000
8310,0.55218,0.00000,0.87046,0.00000
8330,0.54572,0.00000,0.86450,0.00000
8350,0.53958,0.00000,0.86062,0.00000
8370,0.53000,0.00001,0.85111,0.00000
8390,0.52332,0.00000,0.84660,0.00000
8410,0.51535,0.00000,0.83913,0.00000
8430,0.50898,0.00000,0.83483,0.00000
8450,0.50078,0.00001,0.82938,0.00000
8470,0.49393,0.00000,0.82671,1.00000
8490,0.48644,0.00000,0.80471,0.99089
8510,0.47857,0.00003,0.80075,0.98118
8530,0.46947,0.00000,0.79310,0.96938
8550,0.46434,0.00001,0.79199,0.96474
8570,0.45792,0.00010,0.78833,0.95751
8590,0.44991,0.00006,0.78196,0.94758
8610,0.43950,0.00000,0.77064,0.93136
8630,0.43421,0.00000,0.76745,0.92583
8650,0.42597,0.00003,0.75888,0.91496
8670,0.41802,0.00004,0.75039,0.90367
8690,0.41297,0.00003,0.74592,0.89806
8710,0.40313,0.00000,0.73313,0.88299
8730,0.39898,0.00000,0.72997,0.87957
8750,0.39030,0.00007,0.71750,0.00000
8770,0.38350,0.00002,0.70892,0.00000
8790,0.37562,0.00003,0.69860,0.00000
8810,0.36895,0.00000,0.68912,0.00000
8830,0.36158,0.00006,0.67964,0.00000
8850,0.35536,0.00000,0.67232,0.00000
8870,0.34755,0.00002,0.66115,0.00000
8890,0.34232,0.00007,0.65558,0.00000
8910,0.33445,0.00005,0.64534,0.00000
8930,0.32520,0.00001,0.63182,0.00000
8950,0.31909,0.00000,0.62367,0.00000
8970,0.31228,0.00002,0.61490,0.00000
8990,0.30516,0.00000,0.60498,0.00000
9010,0.29890,0.00004,0.59567,0.00000
9030,0.29229,0.00002,0.58626,0.00000
9050,0.28455,0.00001,0.57487,0.00000
9070,0.27861,0.00001,0.56547,0.00000
9090,0.27309,0.00003,0.55724,0.00000
9110,0.26546,0.00000,0.54515,0.00000
9130,0.25777,0.00000,0.53202,0.00000
9150,0.25224,0.00000,0.52247,0.00000
9170,0.24690,0.00001,0.51428,0.00000
9190,0.23962,0.00003,0.50220,0.00000
9210,0.23343,0.00003,0.49098,0.00000
9230,0.22709,0.00001,0.47970,0.00000
9250,0.22065,0.00001,0.46926,0.00000
9270,0.21507,0.00001,0.45957,0.00000
9290,0.20854,0.00003,0.44696,0.00000
9310,0.20293,0.00000,0.43734,0.00000
9330,0.19741,0.00003,0.42828,0.00000
9350,0.19183,0.00001,0.41763,0.00000
9370,0.18611,0.00000,0.40671,0.00000
9390,0.17962,0.00001,0.39492,0.00000
9410,0.17434,0.00000,0.38514,0.00000
9430,0.16882,0.00001,0.37376,0.00000
9450,0.16357,0.00001,0.36390,0.00000
9470,0.15804,0.00000,0.35408,0.00000
9490,0.15343,0.00002,0.34523,0.00000
9510,0.14784,0.00002,0.33368,0.00000
9530,0.14318,0.00000,0.32519,0.00000
9550,0.13768,0.00000,0.31495,0.00000
9570,0.13290,0.00000,0.30509,0.00000
9590,0.12822,0.00000,0.29507,0.00000
9610,0.12351,0.00000,0.28572,0.00000
9630,0.11884,0.00000,0.27652,0.00000
9650,0.11431,0.00001,0.26673,0.00000
9670,0.11012,0.00000,0.25759,0.00000
9690,0.10563,0.00000,0.24839,0.00000
9710,0.10100,0.00000,0.23876,0.00000
9730,0.09709,0.00002,0.22994,0.00000
9750,0.09323,0.00000,0.22090,0.00000
9770,0.08927,0.00000,0.21246,0.00000
9790,0.08513,0.00000,0.20365,0.00000
9810,0.08117,0.00000,0.19455,0.00000
9830,0.07741,0.00000,0.18565,0.00000
